,tweet,likes,country,candidate,retweet_count
0,"It is more clear here who voted for Trump and Biden.

#USAElections2020 #TrumpVsBidenFight #Trump #Biden2020 https://t.co/mdKlc4r1vf",90.0,Afghanistan,Trump,
1,#US forces speed up troop withdrawal from #Afghanistan to seek election and vote for #Trump https://t.co/v9KOW2i9rE,54.0,Afghanistan,Trump,
2,"In #USElection if #Trump wins; #Afghanistan situation getting worse, if #Biden wins; a little chance for reviewing current policy of #US over #Afghanistan &amp; #MiddleEast should be found; the American political &amp; military experts will have more chance to advise #USgovernment. https://t.co/r7ZJ1wqQ1K",23.0,Afghanistan,Trump,
3,"The top lawmaker on the #US House’s Defense Committee said Thursday the Trump administration had “no plan” to withdraw U.S. troops from #Afghanistan by the end of the year, despite President #Trump’s assertion that forces will be home by #Christmas. https://t.co/IepVzONVEK",16.0,Afghanistan,Trump,
4,"ستاسو دعا‌، نفلونه او نفلي روژې قبولې نه شوې 
راځې اوس نو سزا درکړم دله ګانو 😂🤣
#JOEBIDEN2020 #Trump https://t.co/K2e9kv0dtz",13.0,Afghanistan,Trump,
5,Spam me with your best Trump memes #Trump #TrumpOut #TrumpFired #USAelection2020 #Elections2020 #trumpmemes https://t.co/SynAEdzI6p,25.0,Albania,Trump,
6,"PRESIDENT #TRUMP: ""Somebody said to me the other day, 'You're the most famous person in the world by far,' I said, 'No I'm not.' They said, 'Who's more famous?' I said, 'Jesus Christ.'"" @realDonaldTrump well said sir 🙏🙏🙏 https://t.co/kL3eQvO478",19.0,Albania,Trump,
7,Isaac our 15-year-old has a farewell song for Donald Trump. https://t.co/MeBso5iU5H #election2020 #bidenharris2020 #Trump  #Biden,9.0,Albania,Trump,
8,"#Twitter hides #Trump's tweet about attempts to steal the election.
#USAElections2020",6.0,Albania,Trump,
9,"People don't want a doze as Prez.  Biden thought it was in the bag, no way.  Admire #Trump's fighting qualities, he stood up to China, He has his faults, but he fights.  What chance will the US have with dopey drawers #Biden2020  He will just lie down and give in! @Borisjohnson https://t.co/MQbuJ4lkop",6.0,Albania,Trump,
10,Serieeeeeeux 😂😂😂 #trump https://t.co/aCVj72Y8OC,9.0,Algeria,Trump,
11,"#Trump right now.

#TrumpMeltdown #TrumpIsLosing #ElectionResults2020 #Election2020 #bidenharis2020 #CallTheElection #CallTheRace https://t.co/EgL4eUn7Z7",7.0,Algeria,Trump,
12,"What's 284 minus 214 ?

#trump #Biden  #Elections2020  #MEMES #BidenHarris2020  #TrumpvsBiden https://t.co/ll8DRLIlle",4.0,Algeria,Trump,
13,"@RepJasonCrow #مصر #أثيوبيا #السودان #العراق #trump #zionism #sayanim #yinonplan #greaterisrael 

It's from Machiavellian Kissinger;  the US had encouraged Saddam to invade Kuwait and then destroy Iraq.  Egypt is the target of Zionist strategists today;  the Yinon plan is on the right track!",3.0,Algeria,Trump,
14,"J'suis sûr et certain que Trump va gagné !
Trump will win the elections !
#Trump #USAElections2020 #JoeBiden",3.0,Algeria,Trump,
15,"Ich hoffe immer noch, dass #Trump verliert.",18.0,Angola,Trump,
16,"@OnlyGod4ever @SJDES74 #Trump is not just merely a republican, he is an idea with bigger potential than both corrupt parties. #Republican swamp knows this, thats why they are so silent.",18.0,Angola,Trump,
17,@CheRonnyMoe @peteraltmaier @NilpferdNils hatte ne ähnliche Idee. Ich hatte Covfefe😂 #Trump,10.0,Angola,Trump,
18,"#Trump se elegeu pelo WhatsApp, governou pelo Twitter e vai perder a reeleição pelos Correios... 😜",8.0,Angola,Trump,
19,"Ich glaube, so angespannt war ich in Bezug auf Wahlen noch nie!

#ElectionDay #USWahlen2020 #Trump #Biden",6.0,Angola,Trump,
20,"@funder .. Sen. #Perdue?, he's hiding under #Trump's and #Rudy's skirt.!",3.0,Anguilla,Trump,
