,tweet,likes,state,candidate,retweet_count
0,"MOOD‼️ 🤣 Tag a #Trump supporter, it’s #Biden2020 https://t.co/CEjBhyoNJq",489.0,Alabama,Trump,
1,"1. Brief THREAD on #TrumpTownHall

I’m so grieved tonight. Our #POTUS #Trump engaged in extraordinary levels of gaslighting, disinformation, outright lying. It’s too much for me to list all of it. He did a profound disservice to himself, his campaign,  and the American people. -&gt;",196.0,Alabama,Trump,
2,"LETTER TO MY FELLOW CHRISTIANS IN AMERICA ... 

I’ve never done this before; I may never do it again. But if I had only one thing to say right now, I just said it and made myself extremely vulnerable. Here is the link ... 

#Jesus #JohnPiper #Trump #Biden

https://t.co/oXgKaRBnYn",168.0,Alabama,Trump,
3,"10. If I were still a #Republican (now #ExGOP after 37 years of activism), I would be screaming tonight in anguish over what is being done to the Party. Can y’all not see what is happening? If my ultimate hope was in #Trump, I would be in despair. But, my faith is in God.
-END-",86.0,Alabama,Trump,
4,"I didn’t vote for #JoeBiden. I don’t agree with many of his policy proposals. But he is our #PresidentElect. I will pray all for him, as I prayed for #POTUS #Trump, and as #Scripture directs Christ followers to do. To do otherwise would be hypocritical of me. I wish him well. https://t.co/iqCnjC9mTr",81.0,Alabama,Trump,
5,"Democrat Joe Biden defeated President Donald Trump to become the 46th president of the United States.

#election2020 #Biden #Trump https://t.co/QfMum8BQnt",50.0,Alaska,Trump,
6,"With millions of votes yet to be tabulated, Biden already had received more than 71 million votes, the most in history.

#election2020 #Trump #Biden
 https://t.co/SrFFjbBx6g",36.0,Alaska,Trump,
7,"@DonaldJTrumpJr 🗣️I can't wait for a Presidential Crimes Commission. Justice Is Coming, Junior. #Trump 

#TrumpCrimeFamilyForPrison #LincolnProjectEffect 
#ConJr #ByeDonJr #TrumpVirusCatastrophe #Election2020 #VoteHimOut #DonsLastCon #TrumpCrimesCommission  #TeamJustice #GOPCorruptionOverCountry https://t.co/LXOpBqzDnd",25.0,Alaska,Trump,
8,"""The only candidate whose microphone will be open during these two-minute periods is the candidate who has the floor under the rules.""

#Debate #Trump #Biden https://t.co/iOGPPxnX0U",16.0,Alaska,Trump,
9,"This statement from #Trump sycophant #Dunleavy is a new low even for him. 

#BidenHarris2020 #RecallDunleavy https://t.co/DNY8jV2VQ8",15.0,Alaska,Trump,
10,"#Trump wygrywał bez dwóch zdań i... przestali liczyć głosy. Ameryka poszła spać. Rano ""znajdują"" po kilkaset tys. głosów, akurat tam, gdzie #Biden nie miał już szans. I dosłownie WSZYSTKIE ""odnalezione"" głosy są na Bidena - równe 100%, a na Trumpa ZERO. PRZEKRĘT! https://t.co/ZJTsHFZr82",1187.0,Arizona,Trump,
11,"ao vivo agora mesmo com @tercalivre @allanldsantos 

https://t.co/0sVGfXikH5

#brasil #trump #bolsonaro",745.0,Arizona,Trump,
12,"The Chinese Yuan is in free fall. This is a good sign for Trump. 

#currency #trump #china",614.0,Arizona,Trump,
13,Hangin with the #potus Awesome day with an awesome guy!!! #maga Get out and #vote Not bought by anyone and does what’s best for #America The other guy had 47yrs to make policy and it didn’t amount to much...What an easy choice in 2020...#trump https://t.co/NIxgti1xLF,377.0,Arizona,Trump,
14,"Went live this morning in Brazil with @VlogdoLisboa, close to 15,000 live viewers.

Fizemos uma entrevista ao vivo esta manhã! Estou otimista com a eleição, mas pode exigir alguns processos judiciais e ir para o Corte Supreme. 

#brasil #bolsonaro #trump 

https://t.co/DfTMfP0BwS https://t.co/6KQRUGOmLx",296.0,Arizona,Trump,
15,@taylorswift13 I love you but I completely disagree with you &amp; voted #Trump2020LandslideVictory #Trump,61.0,Arkansas,Trump,
16,#RBG #Trump https://t.co/ZkR2z3v6XL,59.0,Arkansas,Trump,
17,This is why nobody likes trump supporters YALL ruin everything. #amongus #trump #amongusdown https://t.co/5GOtEy56AH,40.0,Arkansas,Trump,
18,"@LChicago18 @PissOffTrumpkin During the protests they were saying "" b*tch "" instead of #trump lol maybe they realized he didn't understand.",40.0,Arkansas,Trump,
19,"My respect for this American golf legend was completely removed with his endorsement of #DonaldTrump. It is very telling of his mind, heart and soul. #GoldenBear, you’re dead to me.",31.0,Arkansas,Trump,
20,Sorry I couldn’t join @JudgeJeanine tonight but did you see those @realDonaldTrump rallies?! I saw them firsthand &amp; I know the #Midwest &amp; #South are #Trump country. Now get out there &amp; #vote and get your neighbor to vote!,16154.0,California,Trump,
21,"Why can’t @NBCNews choose a professional, seasoned moderator so the president can answer questions without her interrupting him every moment. The moderator is supposed to be neutral. Her hostility is so evident. #SavannahGuthrie #Trump",14420.0,California,Trump,
22,"UPDATE: Michigan's #AntrimCounty  flipped to a win for #DonaldTrump after an election-software glitch was fixed today. Revised totals now show that Trump won by an estimated 2,500 votes. 

Michigan's GOP Chairwoman, Laura Cox is calling for 47 other counties in Michigan to...",7902.0,California,Trump,
23,"ICYMI: Why I'm voting for @realDonaldTrump &amp; why you should too! #Election2020  TERRELL: ‘President #Trump is good for all Americans, but especially black Americans’ https://t.co/JY5QuYn9L9 via @TheLeoTerrell",3796.0,California,Trump,
24,"I'm not a #Trump supporter, but #BigTech has cast a shadow over #Biden's win. Read this letter (https://t.co/XIqosasGUX) sent Thurs. by 3 US Senators to #Google's CEO, about disturbing pro-liberal #bias we found in our 2020 #ElectionMonitoring project. 

We found a #SmokingGun: https://t.co/MzMuBf7bVu",3375.0,California,Trump,
25,MAKE YOUR VOTE COUNT‼️ #MAGA 🇺🇸 #alwaysmoveforward #16seconds #trump #trump2020 #america #vote #vote2020 https://t.co/jlipNwTMrO,818.0,Colorado,Trump,
26,You know it! #trump2020 #🖕🏻 #Antifa #communism #america #alwaysmoveforward #16seconds #trump https://t.co/SXRNGGXtGL,364.0,Colorado,Trump,
27,"And if you need any more proof, Donald #Trump Jr actually went online to call for Trump supporters to harass Biden Harris supporters

Last time I checked, there is no Presidential immunity for grifting children

FBI should arrest Trump Jr for incitement of terror &amp; violence https://t.co/PQpKizqBEu",247.0,Colorado,Trump,
28,Who won the debate! #america #trump #biden,111.0,Colorado,Trump,
29,"The #Trump show is all over now, except for the final scene with the straitjacket and screaming.

Surely #Shakespeare must have written some appropriate lines for the final mad soliloquy.

Any suggestions, writers?

Follow it with:

[Exit, pursued by a bear.]",82.0,Colorado,Trump,
30,"BREAKING NEWS 🚨 Video of #DonaldTrump Emerges from when he was learning in preschool 

#impressions #comedy #preschoolapprentice @tribelaw @nbcsnl @sarahcpr @jimmyfallon https://t.co/QIxckh40Mv",1083.0,Connecticut,Trump,
31,"Louis DeJoy , as we all know, has been trying to help #Trump steal this election by hampering the US Post Office NOT deliver mail in ballots for months!! He should be Prosecuted by the DOJ in a @JoeBiden &amp; @KamalaHarris Administration!! #USPS #LouisDeJoy #JoeBiden",412.0,Connecticut,Trump,
32,"If Dems win all the states #HillaryClinton won in 16 &amp; win back Penn Michigan &amp; Wisconsin then @JoeBiden is President! All 3 have Dem Governors but Im most concerned about Penn, since their state leg is Repub &amp; are corrupt! #Trump is focused on stealing this one! #VoteBidenHarris",325.0,Connecticut,Trump,
33,It feels like I have had a 350 lb weight (#Trump) on my back for four years and I want if OFF with this #Elections2020!! I want to feel FREE again!! Right?? Lets do It!! #VoteBidenHarris  #JoeBiden #KamalaHarris,318.0,Connecticut,Trump,
34,#MSNBC cut off Trump in seconds after he started with Crazy Lies!! Shame on #CNN and other Networks for showing #Trump's propaganda!! #PresidentElectBiden,304.0,Connecticut,Trump,
35,FRAUD my ASS ... same SYSTEM that VOTED you IN 4 YEARS ago AND worked FOR you THEN ... is THE SAME system THAT voted THAT ass OUT four YEARS LATER ... TAKE that L SIR AND and KEEP it MOVING PARTNER #PERIODT 💯 #TRUMP #POTUS #45,8.0,Delaware,Trump,
36,#Salviniportasfiga A #TRUMP https://t.co/5XDDaWz60u,6.0,Delaware,Trump,
37,"@BarackObama 2/2 My heart failure reared its head 5 days postpartum. I had just birthed my 7th child. His siblings were 17, 12, 9, 5, , 2, 1 years old. It’s been 15 years. My pacemaker needs to be replaced next summer. If #Trump succeeds in his plans, I will lose coverage. I WILL DIE. #ACA",4.0,Delaware,Trump,
38,"@business It’s not 1950. #Trump is out-of-date, out-of-touch, out-of-humanity. Women voting for him are out of their minds. Women work full-time and work hard.",4.0,Delaware,Trump,
39,Remember when #Trump was impeached?  #IMPOTUS #Election2020 #FireTheTrumpRegime,4.0,Delaware,Trump,
40,The White House still has not released a health care plan. #60Minutes #Trump https://t.co/hvz3VUE1J2,25987.0,District of Columbia,Trump,
41,".@Rasmussen_Poll: #Trump ahead of #Biden, with 52% approval rating

https://t.co/5xpiT9tC6G",18474.0,District of Columbia,Trump,
42,My humble advice to @JoeBiden supporters as the fmr #HomelandSecurity Advisor to @VP @Mike_Pence- Don’t let the extreme #Trump supporters on the streets bait you into violence. That’s what the #TrumpCampaign wants. They will set you up like they did this summer. Stay-#BidenCalm,17838.0,District of Columbia,Trump,
43,"Post-debate poll: #Trump leads #Biden by three points in #Pennsylvania

https://t.co/Hsze5MztOm",17009.0,District of Columbia,Trump,
44,The President is lying. Georgia is counting. And the #Trump lead is shrinking. https://t.co/VxcAERtdUb,12179.0,District of Columbia,Trump,
45,COME ON FOUR MORE YEARS! 🇺🇸❤️🇺🇸@realDonaldTrump #Trump2020 #WomenForTrump #4MoreYears #Trump2020Landslide #RedTsunami #DonaldTrump https://t.co/1WLXi8CH7T,1870.0,Florida,Trump,
46,"😂 @realDonaldTrump asks rally goers in #PA today, “Are these the crowds of a second place candidate?” No, Mr. @POTUS the crowds represent #Winning #Mondayvibes  #TrumpRally #Trump https://t.co/T6I2CZiLh7",1438.0,Florida,Trump,
47,"🔥 THIS IS WHAT YOUTH NEEDS 🔥

EMPOWERMENT NOT PANDERING

EDUCATION &amp; STRONG ROLE MODELS 

#FourMoreYears #BLEXIT #Trump #Trump2020LandslideVictory https://t.co/maF0PGq0rs",1409.0,Florida,Trump,
48,"It’s #Halloween ! I hope the children in commie I mean blue  states have a happy alternative to  #trickortreat . In #FL if you pass my #Trump signs on the way to the front door, please appreciate what you  received! #Trump2020Landslide https://t.co/nX7JmMntDy",1274.0,Florida,Trump,
